Number,Company,Company URL,Company URL,SAB Link,SAB,Ticker,Whale URL,Crunchbase URL,Venture Funders,Whale URL,Public Holders,# of High Quality Public Holders,Crunchbase URL,Peptide Specialist?,Pitchbook URL
64,"Artielle ImmunoTherapeutics, Inc.",http://www.artielle.com/,http://www.artielle.com/,http://artielle.com/company/management.php,1,,,http://crunchbase.com/organization/artielle-immunotherapeutics/company_financials,1,,,,https://www.crunchbase.com/organization/artielle-immunotherapeutics/company_financials,,https://pitchbook.com/profiles/company/54012-43
65,Asahi Kasei Corporation,https://www.asahi-kasei.com/,https://www.asahi-kasei.com/,large cap,N/A,AHKSY,https://whalewisdom.com/stock/ahksy,https://www.crunchbase.com/organization/asahi-kasei/company_financials,N/A,https://whalewisdom.com/stock/ahksy,,,https://www.crunchbase.com/organization/asahi-kasei/company_financials,,https://pitchbook.com/profiles/company/51534-55
66,Ascendis Pharma A/S,https://ascendispharma.com/,https://ascendispharma.com/,https://ascendispharma.com/about-us/leadership/#boardofdirectors,1,ASND,https://whalewisdom.com/stock/asnd,https://www.crunchbase.com/organization/ascendis-pharma,3,https://whalewisdom.com/stock/asnd,,,https://www.crunchbase.com/organization/ascendis-pharma,,https://pitchbook.com/profiles/company/57183-67
67,"Assertio Therapeutics, Inc.",https://www.assertiotx.com/,https://www.assertiotx.com/,https://www.assertiotx.com/about/board-of-directors/,1,ASRT,https://whalewisdom.com/stock/asrt,https://www.crunchbase.com/organization/assertio-therapeutics/company_financials,N/A,https://whalewisdom.com/stock/asrt,,,https://www.crunchbase.com/organization/assertio-therapeutics/company_financials,,https://pitchbook.com/profiles/company/41096-71
68,"Astellas Pharma, Inc.",https://www.astellas.com/,https://www.astellas.com/,large cap,N/A,4503:JP,https://whalewisdom.com/stock/4503:jp,https://www.crunchbase.com/organization/astellas-pharma/company_financials,N/A,https://whalewisdom.com/stock/4503:jp,,,https://www.crunchbase.com/organization/astellas-pharma/company_financials,,https://pitchbook.com/profiles/company/59611-33
69,AstraZeneca PLC,https://www.astrazeneca.com/,https://www.astrazeneca.com/,large cap,N/A,AZN,https://whalewisdom.com/stock/azn,https://www.crunchbase.com/person/julie-brown-2,N/A,https://whalewisdom.com/stock/azn,,,https://www.crunchbase.com/person/julie-brown-2,,https://pitchbook.com/profiles/company/10612-54
70,Atox Bio,https://www.atoxbio.com/,https://www.atoxbio.com/,https://www.atoxbio.com/about-us/board-of-directors/,1,,,https://www.crunchbase.com/organization/atox-bio/company_financials,3,,,,https://www.crunchbase.com/organization/atox-bio/company_financials,,https://pitchbook.com/profiles/company/55650-25
71,"Attralus, Inc.",https://www.attralus.com/,https://www.attralus.com/,https://www.attralus.com/leadership,1,,,https://www.crunchbase.com/organization/attralus/company_financials,3,,,,https://www.crunchbase.com/organization/attralus/company_financials,,https://pitchbook.com/profiles/company/399001-96
72,Avadel Pharmaceuticals plc,https://www.avadel.com/,https://www.avadel.com/,https://www.avadel.com/about/board-of-directors/,1,AVDL,https://whalewisdom.com/stock/avdl,https://www.crunchbase.com/organization/avandel/company_financials,N/A,https://whalewisdom.com/stock/avdl,,,https://www.crunchbase.com/organization/avandel/company_financials,,https://pitchbook.com/profiles/company/41206-78
73,"Avelas Biosciences, Inc.",https://www.avelasbio.com/,https://www.avelasbio.com/,https://www.avelasbio.com/about/board-of-directors/,1,,,https://www.crunchbase.com/organization/avelas-biosciences/company_financials,3,,,,https://www.crunchbase.com/organization/avelas-biosciences/company_financials,,https://pitchbook.com/profiles/company/54387-28
